id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
RfxOtJ4SQmEeVX_XjFLWUQ,otis-brooklyn-2,Otis,https://s3-media3.fl.yelpcdn.com/bphoto/aViDtyaJ5YRmsqC4ot5L2w/o.jpg,False,https://www.yelp.com/biz/otis-brooklyn-2?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,322,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 40.706011, 'longitude': -73.932598}","['pickup', 'delivery']",$$,"{'address1': '18 Harrison Pl', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['18 Harrison Pl', 'Brooklyn, NY 11206']}",+16468860601,(646) 886-0601,5200.877004016517
FZYmp5c1VtWNfe635G_wsQ,taste-of-heaven-brooklyn,Taste of Heaven,https://s3-media3.fl.yelpcdn.com/bphoto/SNiWVU6gk8UyVFS44LtdKg/o.jpg,False,https://www.yelp.com/biz/taste-of-heaven-brooklyn?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,162,"[{'alias': 'soulfood', 'title': 'Soul Food'}]",5.0,"{'latitude': 40.717115, 'longitude': -73.940613}",['pickup'],$$,"{'address1': '251 Jackson St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['251 Jackson St', 'Brooklyn, NY 11211']}",+17185763146,(718) 576-3146,4706.918985703231
MNNpsRXe7Wt5m3Jla9Wk0w,the-alcove-sunnyside,The Alcove,https://s3-media2.fl.yelpcdn.com/bphoto/peNqHPI1kUUKbvTse-xIxQ/o.jpg,False,https://www.yelp.com/biz/the-alcove-sunnyside?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,890,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",5.0,"{'latitude': 40.7459065, 'longitude': -73.915103}",[],$$,"{'address1': '41-11 49th St', 'address2': '', 'address3': '', 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['41-11 49th St', 'Sunnyside, NY 11104']}",+13478134159,(347) 813-4159,8045.510107980188
VvsZAnEwU4c8Xkyrzx05Nw,anytime-new-york,Anytime,https://s3-media4.fl.yelpcdn.com/bphoto/R9NTiyIrN0MR3614RZtb_g/o.jpg,False,https://www.yelp.com/biz/anytime-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,1418,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 40.74779, 'longitude': -73.98674}","['pickup', 'delivery', 'restaurant_reservation']",$$,"{'address1': '23 W 32nd St', 'address2': 'Fl 3', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['23 W 32nd St', 'Fl 3', 'New York, NY 10001']}",+16466697733,(646) 669-7733,4761.966725883583
YdFFUP3-PBzBsE3j75XwaQ,panzerotti-bites-brooklyn,Panzerotti Bites,https://s3-media2.fl.yelpcdn.com/bphoto/HbRWIZCVfSCec8FSlvyLrQ/o.jpg,False,https://www.yelp.com/biz/panzerotti-bites-brooklyn?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,129,"[{'alias': 'italian', 'title': 'Italian'}]",5.0,"{'latitude': 40.683715, 'longitude': -73.99227}","['pickup', 'delivery']",$$,"{'address1': '235 Smith St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['235 Smith St', 'Brooklyn, NY 11231']}",+17184889300,(718) 488-9300,2421.6511843583653
nSUIB7itn5ufTUzwa1IgxA,frenchys-food-truck-brooklyn,Frenchy's Food Truck,https://s3-media3.fl.yelpcdn.com/bphoto/ZH8ag-KGKkMOEDTKuSveOQ/o.jpg,False,https://www.yelp.com/biz/frenchys-food-truck-brooklyn?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,78,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'french', 'title': 'French'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 40.6706988393431, 'longitude': -73.9577984064817}",[],$,"{'address1': '341 Eastern Pkwy', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['341 Eastern Pkwy', 'Brooklyn, NY 11238']}",+16464682861,(646) 468-2861,4939.19838685282
3rZwXDjkyDLAHNSdPUI5WA,korai-kitchen-jersey-city,Korai Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/czVFamLw-OlToyBTn_pCcQ/o.jpg,False,https://www.yelp.com/biz/korai-kitchen-jersey-city?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,271,"[{'alias': 'bangladeshi', 'title': 'Bangladeshi'}, {'alias': 'buffets', 'title': 'Buffets'}]",5.0,"{'latitude': 40.733896, 'longitude': -74.059151}",['delivery'],$$,"{'address1': '576 Summit Ave', 'address2': None, 'address3': '', 'city': 'Jersey City', 'zip_code': '07306', 'country': 'US', 'state': 'NJ', 'display_address': ['576 Summit Ave', 'Jersey City, NJ 07306']}",+12017216566,(201) 721-6566,6315.879341411726
VLGmFHE4s0Sfu0piMVQa1Q,hold-fast-kitchen-and-spirits-new-york,Hold Fast Kitchen and Spirits,https://s3-media2.fl.yelpcdn.com/bphoto/A0KyqQHE3euVnUVVDhqrlg/o.jpg,False,https://www.yelp.com/biz/hold-fast-kitchen-and-spirits-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,354,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",5.0,"{'latitude': 40.76064, 'longitude': -73.99023}",[],$$,"{'address1': '364 W 46th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['364 W 46th St', 'New York, NY 10036']}",+19172616691,(917) 261-6691,6140.252693485879
SULHf6nGQ8sK0UpG1XU30w,los-tacos-no-1-new-york-3,Los Tacos No.1,https://s3-media4.fl.yelpcdn.com/bphoto/5wEe4FCwda16knmBHSsX0Q/o.jpg,False,https://www.yelp.com/biz/los-tacos-no-1-new-york-3?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,1823,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 40.7575067, 'longitude': -73.9877717}","['pickup', 'delivery']",$,"{'address1': '229 W 43rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['229 W 43rd St', 'New York, NY 10036']}",+12125744696,(212) 574-4696,5815.027424033859
VP3-iMnKK_TaHDuy6mxTzA,scotts-pizza-tours-new-york,Scott's Pizza Tours,https://s3-media3.fl.yelpcdn.com/bphoto/nhfA9SXPjeX9H4KfjTcn9w/o.jpg,False,https://www.yelp.com/biz/scotts-pizza-tours-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GbDP3exFJ3vf-I_28atqbw,315,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'foodtours', 'title': 'Food Tours'}, {'alias': 'walkingtours', 'title': 'Walking Tours'}]",5.0,"{'latitude': 40.750244140625, 'longitude': -73.9970245361328}",[],$$,"{'address1': '', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['New York, NY 10001']}",,,5379.773739687928
