X1,X2,edges
-7PuYohz9dR80iGfVR_kLA,0FrYsoVHheQGoXEQsH2d2Q,1
-7PuYohz9dR80iGfVR_kLA,3G_bblT7MQIlXx8BBorILQ,1
-7PuYohz9dR80iGfVR_kLA,F1qPjasn0R6-j8sa6iYNmA,1
-7PuYohz9dR80iGfVR_kLA,L2c-qKZWumCmOCR-dqBLrg,1
-7PuYohz9dR80iGfVR_kLA,NSzhahVpI_B32snhJHM0HA,1
-7PuYohz9dR80iGfVR_kLA,PiD4hteskHnFC4GowN34cw,1
-7PuYohz9dR80iGfVR_kLA,Piw4Xr1wNyL4lgmwLZ2eTg,1
-7PuYohz9dR80iGfVR_kLA,dn9lwYUxmhs_mLKPu7L25Q,1
-7PuYohz9dR80iGfVR_kLA,e0prCZXtHGQIKeQ_wTW3uw,1
-7PuYohz9dR80iGfVR_kLA,kNtToQSP_Y5U8tznLXuCaw,1
-A4suUjxa7gNaiUMDjO42g,-S1BkxguVmi2G_O6Bcoabg,1
-A4suUjxa7gNaiUMDjO42g,-fiUXzkxRfbHY9TKWwuptw,4
-A4suUjxa7gNaiUMDjO42g,-zEpEmDfFQL-ph0N3BDlXA,3
-A4suUjxa7gNaiUMDjO42g,0-WocGTpO3Zm4q1Zzz49Rw,1
-A4suUjxa7gNaiUMDjO42g,2pbOSrbB5AtQIa240AXNvQ,1
-A4suUjxa7gNaiUMDjO42g,4cPM1Hcj3UiN3fxyOsiR9w,1
-A4suUjxa7gNaiUMDjO42g,4hWDMVtfnpyY72_5QMbthA,1
-A4suUjxa7gNaiUMDjO42g,5lw5rrhFMz-liykUn8dGSw,1
-A4suUjxa7gNaiUMDjO42g,6d82R41sVNDVS0I-c1Ghkg,3
-A4suUjxa7gNaiUMDjO42g,B2N_XO6fX0ILL9c50QuzHg,1
-A4suUjxa7gNaiUMDjO42g,C3d4HqDjWq9e_0cPfmPykg,1
-A4suUjxa7gNaiUMDjO42g,CrIWqmuO2uQWwl3z11K_BA,1
-A4suUjxa7gNaiUMDjO42g,D6SCh4BwNb52wZIqXdS4JQ,2
-A4suUjxa7gNaiUMDjO42g,F1qPjasn0R6-j8sa6iYNmA,1
-A4suUjxa7gNaiUMDjO42g,Frbldz6phswVyMNvwherhA,1
-A4suUjxa7gNaiUMDjO42g,L2c-qKZWumCmOCR-dqBLrg,2
-A4suUjxa7gNaiUMDjO42g,LyGab6ITDEMDI5E0YcC0Ng,1
-A4suUjxa7gNaiUMDjO42g,PBmfdx-tC2D54FI3HtcKww,1
-A4suUjxa7gNaiUMDjO42g,PTQVaWA-I5ZLzwy5oBbVMg,1
-A4suUjxa7gNaiUMDjO42g,RnGG5bAz4nTPo_Ui99Kzbg,1
-A4suUjxa7gNaiUMDjO42g,SCxtzXcvyk1hygdmOZqd1A,1
-A4suUjxa7gNaiUMDjO42g,S_9OaE_RBWBIXnUKvxJKsQ,2
-A4suUjxa7gNaiUMDjO42g,SgG5E7PUrCIsEMP0BVSlTg,2
-A4suUjxa7gNaiUMDjO42g,SvxSoyZn0WW0c7bFLIYfMA,1
-A4suUjxa7gNaiUMDjO42g,VIJ2KiDKhUVhhpNylEIfog,2
-A4suUjxa7gNaiUMDjO42g,ZGIkQIh3KTLM1yOCNpvU5Q,1
-A4suUjxa7gNaiUMDjO42g,ZyOgY-z9sHdHp8_FDoQAJg,3
-A4suUjxa7gNaiUMDjO42g,_a6jhRFIgOe74U73T5B-Ww,2
-A4suUjxa7gNaiUMDjO42g,c2uAqJ2REpLMCZO2jxdi9w,2
-A4suUjxa7gNaiUMDjO42g,d_Wm9CpzIo_0T-XLfq1UcA,1
-A4suUjxa7gNaiUMDjO42g,dn9lwYUxmhs_mLKPu7L25Q,3
-A4suUjxa7gNaiUMDjO42g,e0prCZXtHGQIKeQ_wTW3uw,1
-A4suUjxa7gNaiUMDjO42g,hvPPw19VdGRsOEkxgyD7tg,1
-A4suUjxa7gNaiUMDjO42g,i1YpfdZTpLj8TrKm9HlCig,2
-A4suUjxa7gNaiUMDjO42g,k6m3Msok7bto6biv5guEzg,1
-A4suUjxa7gNaiUMDjO42g,kNtToQSP_Y5U8tznLXuCaw,2
-A4suUjxa7gNaiUMDjO42g,kyXEnWKQGWSThY6EcjORuw,1
-A4suUjxa7gNaiUMDjO42g,l4x5FFzfiCFrGN0S-uZbBQ,1
-A4suUjxa7gNaiUMDjO42g,lWmDrnqgU6w3gFaJyn_1Uw,2
-A4suUjxa7gNaiUMDjO42g,m6nLTIrEJHtHSYJjVavnzw,1
-A4suUjxa7gNaiUMDjO42g,pMiz7SP82Tknv1NbVqoSfg,3
-A4suUjxa7gNaiUMDjO42g,qaS11gk1kIlrzCX1LYiZsw,1
-A4suUjxa7gNaiUMDjO42g,qeJnMI5RmyJ2TZvkqvjn6Q,1
-A4suUjxa7gNaiUMDjO42g,r_QcMIgY2zxdcV40kK_rxw,1
-A4suUjxa7gNaiUMDjO42g,th4pZ5LkoIIkb1Vmu_m2DA,2
-A4suUjxa7gNaiUMDjO42g,u8C8pRvaHXg3PgDrsUHJHQ,2
-A4suUjxa7gNaiUMDjO42g,wsuzuLD3KV7L8oMinLCI0A,1
-A4suUjxa7gNaiUMDjO42g,xD6Q0UFxO8uE4bdaBDIMlA,1
-A4suUjxa7gNaiUMDjO42g,y2V42mxWvVoH4NvUT_n8eg,3
-Jhlh8Scjy669NdtCfKSSg,-fiUXzkxRfbHY9TKWwuptw,4
-Jhlh8Scjy669NdtCfKSSg,-zEpEmDfFQL-ph0N3BDlXA,4
-Jhlh8Scjy669NdtCfKSSg,0-WocGTpO3Zm4q1Zzz49Rw,1
-Jhlh8Scjy669NdtCfKSSg,0FrYsoVHheQGoXEQsH2d2Q,1
-Jhlh8Scjy669NdtCfKSSg,1p6qHrapvuKpbZGLT9qskw,1
-Jhlh8Scjy669NdtCfKSSg,1qQ5VkxiBUjbGGdpBN-PUQ,1
-Jhlh8Scjy669NdtCfKSSg,2pbOSrbB5AtQIa240AXNvQ,1
-Jhlh8Scjy669NdtCfKSSg,5CSGxhesXkz2XNQB8AP6Kw,1
-Jhlh8Scjy669NdtCfKSSg,5_cn7M-9swHrFbnqZtYGBQ,3
-Jhlh8Scjy669NdtCfKSSg,5bTjUBhGbild5tuzfAmIJg,1
-Jhlh8Scjy669NdtCfKSSg,5lw5rrhFMz-liykUn8dGSw,4
-Jhlh8Scjy669NdtCfKSSg,5uvf3QpmrdU2aiqmF4278A,1
-Jhlh8Scjy669NdtCfKSSg,6d82R41sVNDVS0I-c1Ghkg,5
-Jhlh8Scjy669NdtCfKSSg,9V4AGrJphOIw2RC1UoPPRw,2
-Jhlh8Scjy669NdtCfKSSg,B9W60PTxn7XOZfk4BiTvyw,1
-Jhlh8Scjy669NdtCfKSSg,BkqM_Ou82P3gn_PTxEN3pw,3
-Jhlh8Scjy669NdtCfKSSg,BoTQepQTjGbTXA4g4Hj-WA,1
-Jhlh8Scjy669NdtCfKSSg,BvARTl3t-aztQ9HPKc9xGQ,1
-Jhlh8Scjy669NdtCfKSSg,C3d4HqDjWq9e_0cPfmPykg,1
-Jhlh8Scjy669NdtCfKSSg,CKqHfvcqx73-Uz0xGMHL6Q,1
-Jhlh8Scjy669NdtCfKSSg,CPjWjKn4bj3QQFQ1nUlXUg,1
-Jhlh8Scjy669NdtCfKSSg,D6SCh4BwNb52wZIqXdS4JQ,2
-Jhlh8Scjy669NdtCfKSSg,DjDcRTH09r1Yma6qd0om0Q,3
-Jhlh8Scjy669NdtCfKSSg,E6QAh8UPRo6Tlg6hkcWCHw,1
-Jhlh8Scjy669NdtCfKSSg,EYmj4QlhqgrsMXnLeGLu3Q,1
-Jhlh8Scjy669NdtCfKSSg,Epr8Ft7LwYAzotFwxQX6uw,3
-Jhlh8Scjy669NdtCfKSSg,Frbldz6phswVyMNvwherhA,1
-Jhlh8Scjy669NdtCfKSSg,FsnwQwatA43aeGhJlxQ_Kg,2
-Jhlh8Scjy669NdtCfKSSg,Gvox18F9QxsSS9qG2O8E-A,2
-Jhlh8Scjy669NdtCfKSSg,HbK6IfznbVToEaKVC0WcSg,1
-Jhlh8Scjy669NdtCfKSSg,JCnFvoh7lU8PF_Yhh8bgOw,2
-Jhlh8Scjy669NdtCfKSSg,JbnNk6do3aHF3Kr1bX4HzQ,1
-Jhlh8Scjy669NdtCfKSSg,L2c-qKZWumCmOCR-dqBLrg,3
-Jhlh8Scjy669NdtCfKSSg,LyGab6ITDEMDI5E0YcC0Ng,2
-Jhlh8Scjy669NdtCfKSSg,NEVA0IYbawceL6kz5v5DAw,3
-Jhlh8Scjy669NdtCfKSSg,O3zVw-VAcJi8ta4B6v5iAA,2
-Jhlh8Scjy669NdtCfKSSg,PTQVaWA-I5ZLzwy5oBbVMg,1
-Jhlh8Scjy669NdtCfKSSg,PmVxbit6HDDsEUS-j9aDfg,1
-Jhlh8Scjy669NdtCfKSSg,QayRAyqw0tvQR27rqLxPFQ,1
-Jhlh8Scjy669NdtCfKSSg,QdganL5AW9E_fNoRVroLig,3
-Jhlh8Scjy669NdtCfKSSg,RofPcfgxItpYw1eQ3e1Hjw,1
-Jhlh8Scjy669NdtCfKSSg,SCxtzXcvyk1hygdmOZqd1A,1
-Jhlh8Scjy669NdtCfKSSg,SFh9uHtGR1lVPH2RTS2SWQ,1
-Jhlh8Scjy669NdtCfKSSg,SUktrYdNQD8k2vvkM4OpfA,2
-Jhlh8Scjy669NdtCfKSSg,S_9OaE_RBWBIXnUKvxJKsQ,5
-Jhlh8Scjy669NdtCfKSSg,Sp32-I-Ej0CBVJvFCghyPw,2
-Jhlh8Scjy669NdtCfKSSg,SvxSoyZn0WW0c7bFLIYfMA,1
-Jhlh8Scjy669NdtCfKSSg,VHsNB3pdGVcRgs6C3jt6Zg,2
-Jhlh8Scjy669NdtCfKSSg,VIJ2KiDKhUVhhpNylEIfog,6
-Jhlh8Scjy669NdtCfKSSg,WDTzX_C2CbAwxBbqm-od6g,1
-Jhlh8Scjy669NdtCfKSSg,X57f6FWZiwI1wOidPPhOrQ,1
-Jhlh8Scjy669NdtCfKSSg,XbHxWOciYlBhJOjKRQbo9g,1
-Jhlh8Scjy669NdtCfKSSg,XuByFsXXhnKmZ6hxucOj7A,1
-Jhlh8Scjy669NdtCfKSSg,ZMcbVIEXsLO7j1Q1GXKPSw,1
-Jhlh8Scjy669NdtCfKSSg,ZxQlHVm0pj0ERqpwhEHc6w,2
-Jhlh8Scjy669NdtCfKSSg,ZyOgY-z9sHdHp8_FDoQAJg,3
-Jhlh8Scjy669NdtCfKSSg,_n5wggIEfBzCUepjgvHXAQ,1
-Jhlh8Scjy669NdtCfKSSg,aKiE0aZ6vGyOlH-uVOHONw,1
-Jhlh8Scjy669NdtCfKSSg,abA0s0uxoeOn7zNm-1dDxw,1
-Jhlh8Scjy669NdtCfKSSg,b8iHKolCsC4ZTM8X9-L01A,1
-Jhlh8Scjy669NdtCfKSSg,boIILzBqhjWhq4G0BsB5_A,3
-Jhlh8Scjy669NdtCfKSSg,dIZcPB3CtNjMn4O_p8QFxw,2
-Jhlh8Scjy669NdtCfKSSg,dKncjeWnvdqYiNC8l26fog,1
-Jhlh8Scjy669NdtCfKSSg,dn9lwYUxmhs_mLKPu7L25Q,2
-Jhlh8Scjy669NdtCfKSSg,doEpdTg3l55-IWemTlG3tg,1
-Jhlh8Scjy669NdtCfKSSg,dtKy808TwAgtOcwSCbXFJw,2
-Jhlh8Scjy669NdtCfKSSg,e0prCZXtHGQIKeQ_wTW3uw,1
-Jhlh8Scjy669NdtCfKSSg,gEJZ5USuvC1r8_QvSvDCNA,1
-Jhlh8Scjy669NdtCfKSSg,gnqHyA6gY2-m9S-FKt6Xqw,3
